test_id,config,claim_index,claim,support,supported,reason
30b5c4969ddfed66,M,1,The evidence does not provide information about the winner of the women's final at the Australian Open 2024.,text_only,True,Evidence mentions the men’s final but provides no women’s final winner or outcome.
30b5c4969ddfed66,M,2,The evidence discusses Emma Raducanu's return to competition.,text_only,True,Evidence describes Raducanu’s first match after eight months injured and her return to competition.
30b5c4969ddfed66,M,3,The evidence discusses Novak Djokovic's loss.,text_only,True,Evidence explicitly reports Djokovic losing to Jannik Sinner at the Australian Open.
30b5c4969ddfed66,M,4,The evidence discusses performances by other players.,text_only,True,"Evidence discusses Gauff, Liu, Svitolina, Wozniacki, Murray, Etcheverry, and others’ performances."
30b5c4969ddfed66,M,5,The evidence does not mention the women's final or its outcome.,text_only,True,Evidence does not mention a women’s Australian Open final or its outcome.
30b5c4969ddfed66,M,6,The summary concludes that there is insufficient evidence to answer the query.,unsupported,False,"No summary is provided, though the evidence supports insufficient information about the women’s final winner."
30b5c4969ddfed66,M_vision,1,The evidence does not provide information about the winner of the women's final at the Australian Open 2024.,text_only,True,The evidence names the men's finalist but gives no winner or outcome for the women's final.
30b5c4969ddfed66,M_vision,2,The evidence discusses Emma Raducanu's return to competition.,both,True,Text describes Raducanu returning after eight months injured; image I1 shows her playing tennis.
30b5c4969ddfed66,M_vision,3,The evidence discusses Novak Djokovic's loss.,both,True,Text explicitly reports Djokovic's Australian Open loss; image I2 depicts Djokovic.
30b5c4969ddfed66,M_vision,4,The evidence discusses performances by other players.,both,True,"Text discusses Gauff, Svitolina, Murray, Wiegman, Bonmati, and others; images show several performers."
30b5c4969ddfed66,M_vision,5,The evidence does not mention the women's final or its outcome.,text_only,True,The evidence does not mention a women's Australian Open final or its outcome.
30b5c4969ddfed66,M_vision,6,The summary concludes that there is insufficient evidence to answer the query.,unsupported,False,The evidence supports claims about Raducanu and Djokovic but does not contain a stated summary conclusion.
cf51b562ce4b151e,B1,1,The evidence does not provide information about Emma Raducanu's performance at the Australian Open 2024.,text_only,True,"Text discusses Raducanu's preparation and possible entry, not her Australian Open performance."
cf51b562ce4b151e,B1,2,The evidence does not provide information about Emma Raducanu's results at the Australian Open 2024.,text_only,True,No Australian Open 2024 result for Raducanu appears in the evidence.
cf51b562ce4b151e,B1,3,The evidence does not provide details about whom Emma Raducanu may have lost to at the Australian Open 2024.,text_only,True,No opponent Raducanu may have lost to at the Australian Open is identified.
cf51b562ce4b151e,B1,4,The evidence mentions Emma Raducanu's participation in the Australian Open 2024.,text_only,True,Text says Raducanu was scheduled to play an opening match Tuesday and discusses possible entry.
cf51b562ce4b151e,B1,5,The evidence mentions Emma Raducanu's previous matches.,text_only,True,Text reports her Auckland match against Elena-Gabriela Ruse and mentions her meeting with Svitolina.
cf51b562ce4b151e,B1,6,The evidence does not specify the outcome of Emma Raducanu's matches at the Australian Open 2024.,text_only,True,The evidence does not state any Australian Open match outcome for Raducanu.
cf51b562ce4b151e,B1,7,The evidence is insufficient to answer the query.,text_only,True,"The evidence lacks Raducanu's Australian Open result or opponent, leaving the query unanswered."
cf51b562ce4b151e,M,1,The evidence does not provide information about which player Emma Raducanu lost to at the Australian Open 2024.,text_only,True,No player Raducanu lost to at the Australian Open is identified.
cf51b562ce4b151e,M,2,The evidence mentions Emma Raducanu's participation in the Australian Open 2024.,text_only,True,Text lists Raducanu among players scheduled to play their opening matches Tuesday.
cf51b562ce4b151e,M,3,The evidence mentions Emma Raducanu's previous matches.,text_only,True,Text reports her Auckland win over Elena-Gabriela Ruse and forthcoming meeting with Svitolina.
cf51b562ce4b151e,M,4,The evidence does not detail the outcome of Emma Raducanu's matches at the Australian Open 2024.,text_only,True,No outcome of any Australian Open match involving Raducanu is provided.
cf51b562ce4b151e,M,5,The evidence does not identify any specific opponent Emma Raducanu faced at the Australian Open 2024.,text_only,True,No specific Australian Open opponent for Raducanu is named.
cf51b562ce4b151e,M,6,The evidence is insufficient to answer the query.,text_only,True,The evidence does not provide enough information about Raducanu's Australian Open results or opponent.
cf51b562ce4b151e,M_vision,1,The evidence does not provide information about which player Emma Raducanu lost to at the Australian Open 2024.,text_only,True,Text discusses Raducanu’s Australian Open entry but does not identify a loss or opponent.
cf51b562ce4b151e,M_vision,2,The evidence mentions Emma Raducanu's participation in the Australian Open 2024.,text_only,True,Text explicitly says Raducanu would play her opening Australian Open match.
cf51b562ce4b151e,M_vision,3,The evidence mentions Emma Raducanu's previous matches.,text_only,True,Text mentions her first match after eight months and her nine matches in 2023.
cf51b562ce4b151e,M_vision,4,The evidence does not detail the outcome of Emma Raducanu's matches at the Australian Open 2024.,text_only,True,No Australian Open match outcome for Raducanu is provided.
cf51b562ce4b151e,M_vision,5,The evidence does not identify any specific opponent Emma Raducanu faced at the Australian Open 2024.,text_only,True,The evidence names no specific Australian Open opponent for Raducanu.
cf51b562ce4b151e,M_vision,6,The evidence is insufficient to answer the query.,text_only,True,The evidence provides relevant Australian Open participation context but does not answer who she lost to.
02a07ad9c7a29286,B1,1,Luke Littler reached the World Darts Championship final.,text_only,True,Evidence explicitly says Littler reached the PDC World Darts Championship final.
02a07ad9c7a29286,B1,2,Luke Littler defeated former champion Rob Cross in the semi-finals.,text_only,True,Evidence states he stunned former champion Rob Cross in the semi-final victory.
02a07ad9c7a29286,B1,3,Luke Littler was 16 years old.,text_only,True,Evidence identifies Littler as 16 years old.
02a07ad9c7a29286,B1,4,Luke Littler became the youngest player to reach the World Darts Championship final.,text_only,True,Evidence explicitly calls him the youngest person to reach the title decider.
02a07ad9c7a29286,B1,5,Luke Littler had earlier wins against notable players.,text_only,True,"Evidence documents wins over Brendan Dolan, Rob Cross, and other notable players."
02a07ad9c7a29286,B1,6,Luke Littler defeated Brendan Dolan in an earlier match.,text_only,True,Evidence explicitly says Littler swept past Brendan Dolan.
02a07ad9c7a29286,B1,7,Luke Littler's performance garnered significant attention.,text_only,True,"Evidence describes his meteoric rise and sporting impact, supporting significant attention."
02a07ad9c7a29286,B1,8,Luke Littler's matches were among the most-watched in the tournament's history.,text_only,True,Evidence says his semi-final set a tournament viewing record and final was anticipated highly watched.
02a07ad9c7a29286,M,1,Luke Littler reached the World Darts Championship final.,text_only,True,Evidence explicitly says Littler reached the World Darts Championship final.
02a07ad9c7a29286,M,2,Luke Littler defeated Rob Cross in the semi-finals.,unsupported,False,"Evidence says he stunned former champion Rob Cross, but does not explicitly identify the semi-final result."
02a07ad9c7a29286,M,3,Luke Littler became the youngest player to reach the final of the World Darts Championship.,text_only,True,Evidence explicitly calls him the youngest person to reach the title decider.
02a07ad9c7a29286,M,4,Luke Littler's performance throughout the championship garnered considerable attention.,text_only,True,Evidence describes his meteoric rise transcending the sport and taking him from obscurity to stardom.
02a07ad9c7a29286,M,5,Luke Littler's matches had record viewership.,text_only,True,Evidence says his semi-final set a Sky tournament viewing record.
02a07ad9c7a29286,M,6,Luke Littler had earlier wins against notable players.,text_only,True,Evidence documents wins over Raymond van Barneveld and other notable players.
02a07ad9c7a29286,M,7,Luke Littler's earlier wins showcased his rapid rise in the sport.,text_only,True,"Evidence describes a meteoric rise, sporting stardom, and remarkable wins, supporting rapid rise."
02a07ad9c7a29286,M_vision,1,Luke Littler reached the World Darts Championship final.,text_only,True,Text states Littler faced Humphries in the final and was runner-up.
02a07ad9c7a29286,M_vision,2,Luke Littler defeated Rob Cross in the semi-finals.,text_only,True,Text explicitly says Littler defeated former champion Rob Cross in the semi-final.
02a07ad9c7a29286,M_vision,3,Luke Littler became the youngest player to reach the final of the World Darts Championship.,text_only,True,Text explicitly calls Littler the youngest person to reach the title decider.
02a07ad9c7a29286,M_vision,4,Luke Littler's performance throughout the championship garnered considerable attention.,text_only,True,"Text describes a meteoric rise, sporting stardom, and record tournament viewing attention."
02a07ad9c7a29286,M_vision,5,Luke Littler's semi-final match had record viewership.,text_only,True,Text reports his semi-final peak audience was a Sky tournament viewing record.
060d93d8f53ccd70,B1,1,Tesco has faced challenges related to rising costs in the grocery market.,unsupported,False,Evidence mentions Tesco cutting prices amid high costs but does not specifically state Tesco faced rising grocery-market costs.
060d93d8f53ccd70,B1,2,Tesco has faced competition in the grocery market.,text_only,True,Tesco cut prices to head off competition from discount rivals Aldi and Lidl.
060d93d8f53ccd70,B1,3,Tesco has warned that some prices may increase.,text_only,True,Tesco warned that Red Sea disruption could cause some prices to rise.
060d93d8f53ccd70,B1,4,Tesco attributed potential price increases to disruptions in global trade routes.,text_only,True,Evidence links Tesco’s price warning to shipping diversions caused by Red Sea disruption.
060d93d8f53ccd70,B1,5,The global trade route disruptions were affected by attacks in the Red Sea.,text_only,True,Evidence explicitly says Houthi attacks caused shipping companies to divert vessels from the Red Sea.
060d93d8f53ccd70,B1,6,Tesco is under pressure to raise wages for its workers.,unsupported,False,"Evidence says supermarkets must raise wages, but does not specifically state Tesco is under pressure."
060d93d8f53ccd70,B1,7,New minimum wage regulations are a reason for the pressure to raise workers' wages.,text_only,True,Supermarkets must increase wages at least in line with the new minimum wage this April.
060d93d8f53ccd70,B1,8,Higher wages could further impact Tesco's profit margins.,unsupported,False,"Evidence says higher wages can hit business margins, but this concerns businesses generally, not Tesco specifically."
060d93d8f53ccd70,B1,9,Tesco reported a rise in sales during the Christmas period.,text_only,True,Tesco reported UK sales rising 6.8% over six weeks through 6 January.
060d93d8f53ccd70,B1,10,Tesco's Christmas-period sales rise indicated strong performance amid a competitive landscape.,text_only,True,Tesco reported strong Christmas sales while competing with discount rivals and other supermarkets.
060d93d8f53ccd70,M,1,The evidence does not provide specific information about issues Tesco faced with its deliveries recently.,text_only,True,The evidence does not provide specific information about recent Tesco delivery issues.
060d93d8f53ccd70,M,2,The evidence discusses Tesco's sales performance during the Christmas period.,text_only,True,Evidence explicitly discusses Tesco’s Christmas-period sales performance.
060d93d8f53ccd70,M,3,Tesco reported a rise in sales during the Christmas period.,text_only,True,Tesco reported UK sales rising 6.8% over the six weeks to 6 January.
060d93d8f53ccd70,M,4,Tesco reported a rise in market share during the Christmas period.,text_only,True,"Tesco’s market share rose to 27.6%, according to the evidence."
