test_id,config,claim_index,claim,support,supported,reason
060d93d8f53ccd70,B0,1,Tesco recently faced significant challenges with its delivery services.,unsupported,False,"The evidence discusses Tesco sales, prices, profits, and shipping impacts, but no Tesco delivery-service challenges."
060d93d8f53ccd70,B0,2,The delivery-service challenges were primarily due to supply-chain disruptions and increased demand during peak shopping periods.,unsupported,False,No evidence attributes Tesco delivery challenges to supply-chain disruption or peak-period demand.
060d93d8f53ccd70,B0,3,Customers reported delays in their online orders.,unsupported,False,The supplied evidence contains no reports of delayed Tesco online orders.
060d93d8f53ccd70,B0,4,Customers reported cancellations of their online orders.,unsupported,False,The supplied evidence contains no reports of canceled Tesco online orders.
060d93d8f53ccd70,B0,5,The delays and cancellations led to customer frustration and dissatisfaction.,unsupported,False,No evidence describes customer frustration or dissatisfaction resulting from Tesco delivery issues.
060d93d8f53ccd70,B0,6,Tesco attributed the delivery issues to a combination of labor shortages and logistical hurdles.,unsupported,False,No evidence attributes Tesco delivery issues to labor shortages or logistical hurdles.
060d93d8f53ccd70,B0,7,The logistical hurdles were exacerbated by the ongoing effects of the pandemic.,unsupported,False,"The evidence mentions Covid-era comparisons, but not pandemic effects on Tesco delivery hurdles."
060d93d8f53ccd70,B0,8,Tesco has been working to address the delivery problems by increasing staffing levels.,unsupported,False,No evidence says Tesco addressed delivery problems by increasing staffing levels.
060d93d8f53ccd70,B0,9,Tesco has been working to address the delivery problems by optimizing its delivery processes.,unsupported,False,No evidence says Tesco addressed delivery problems by optimizing delivery processes.
9bb3a8fb413510c1,B0,1,Sarah Ferguson is the Duchess of York.,text_only,True,Evidence identifies Sarah Ferguson as the Duchess of York.
9bb3a8fb413510c1,B0,2,Sarah Ferguson was diagnosed with skin cancer.,text_only,True,"Evidence says she was diagnosed with malignant melanoma, a form of skin cancer."
9bb3a8fb413510c1,B0,3,Sarah Ferguson expressed concern following her skin cancer diagnosis.,text_only,True,"She described the diagnosis as a shock, indicating concern or distress."
9bb3a8fb413510c1,B0,4,Sarah Ferguson expressed determination following her skin cancer diagnosis.,unsupported,False,"She said she was in good spirits, but determination is not stated."
9bb3a8fb413510c1,B0,5,Sarah Ferguson emphasized the importance of early detection.,text_only,True,A spokesman said further investigations would ensure the melanoma was caught early.
9bb3a8fb413510c1,B0,6,Sarah Ferguson encouraged others to prioritize their health by getting regular check-ups.,unsupported,False,No evidence says she encouraged regular check-ups.
9bb3a8fb413510c1,B0,7,Sarah Ferguson shared her personal experience to raise awareness about skin cancer.,unsupported,False,No evidence says she shared her experience to raise skin-cancer awareness.
