test_id,config,faithfulness,kind,category
002af1e8e4bf3974,B1,0.8,usable,society_culture
002af1e8e4bf3974,M,0.7692307692307693,usable,society_culture
002af1e8e4bf3974,M_vision,1.0,usable,society_culture
02a07ad9c7a29286,B1,1.0,usable,sports
02a07ad9c7a29286,M,1.0,usable,sports
02a07ad9c7a29286,M_vision,1.0,usable,sports
034a3d7c21a3f270,B1,0.8571428571428571,soft,society_culture
034a3d7c21a3f270,M,0.8333333333333334,soft,society_culture
034a3d7c21a3f270,M_vision,0.8,soft,society_culture
060d93d8f53ccd70,B1,0.75,usable,business_technology_science
060d93d8f53ccd70,M,0.9,soft,business_technology_science
060d93d8f53ccd70,M_vision,0.6,soft,business_technology_science
06651158c9ca9498,B1,0.9,usable,politics_conflict
06651158c9ca9498,M,0.875,usable,politics_conflict
06651158c9ca9498,M_vision,0.875,usable,politics_conflict
070956fe9747473b,B1,1.0,usable,business_technology_science
070956fe9747473b,M,1.0,usable,business_technology_science
070956fe9747473b,M_vision,1.0,usable,business_technology_science
0a5fa0a6fc09ec39,B1,1.0,usable,business_technology_science
0a5fa0a6fc09ec39,M,0.8,usable,business_technology_science
0a5fa0a6fc09ec39,M_vision,0.9,usable,business_technology_science
0c1244b85425067a,M,1.0,soft,society_culture
0e6583e389cfc5a6,B1,0.42857142857142855,soft,society_culture
0e6583e389cfc5a6,M,0.5,soft,society_culture
0e6583e389cfc5a6,M_vision,0.5,soft,society_culture
11bc3fc1cb900287,B1,0.875,usable,society_culture
11bc3fc1cb900287,M,1.0,usable,society_culture
11bc3fc1cb900287,M_vision,1.0,usable,society_culture
11d52b61cdba900c,B1,1.0,soft,society_culture
11d52b61cdba900c,M,1.0,soft,society_culture
11d52b61cdba900c,M_vision,0.4,soft,society_culture
12f660940b0b8702,B1,1.0,soft,politics_conflict
12f660940b0b8702,M,1.0,soft,politics_conflict
12f660940b0b8702,M_vision,1.0,soft,politics_conflict
13c083b411295814,B1,1.0,soft,business_technology_science
13c083b411295814,M,0.8333333333333334,usable,business_technology_science
13c083b411295814,M_vision,1.0,usable,business_technology_science
167cf0b032cd2d1e,B1,0.6,usable,society_culture
167cf0b032cd2d1e,M,0.75,usable,society_culture
167cf0b032cd2d1e,M_vision,0.9,usable,society_culture
17821b777b38e1fd,B1,0.7142857142857143,soft,business_technology_science
17821b777b38e1fd,M,0.5,soft,business_technology_science
18217c4c4f140dea,B1,1.0,usable,international
18217c4c4f140dea,M,0.875,usable,international
18217c4c4f140dea,M_vision,0.9,usable,international
1c2cf0692ea35a78,M_vision,1.0,soft,international
1df3b50ae50946fa,M,1.0,soft,society_culture
1df3b50ae50946fa,M_vision,0.7142857142857143,soft,society_culture
22c6ee9fcb3b716b,B1,0.8888888888888888,usable,international
22c6ee9fcb3b716b,M,0.8888888888888888,usable,international
22c6ee9fcb3b716b,M_vision,0.9090909090909091,usable,international
24bb2451c2227bdb,B1,1.0,soft,society_culture
24bb2451c2227bdb,M,1.0,soft,society_culture
24bb2451c2227bdb,M_vision,1.0,soft,society_culture
25c305df41b8b691,B1,0.8888888888888888,usable,international
25c305df41b8b691,M,0.8888888888888888,usable,international
25c305df41b8b691,M_vision,0.8888888888888888,usable,international
2aa2baad76ce9105,B1,0.8888888888888888,usable,international
2aa2baad76ce9105,M,0.8888888888888888,usable,international
2aa2baad76ce9105,M_vision,1.0,usable,international
2ab5928f5a6477c1,B1,0.75,soft,international
2ab5928f5a6477c1,M,0.5,soft,international
2ab5928f5a6477c1,M_vision,0.8333333333333334,soft,international
2ae4c40adbe60b84,B1,1.0,soft,society_culture
2ae4c40adbe60b84,M,1.0,soft,society_culture
2ae4c40adbe60b84,M_vision,1.0,soft,society_culture
2e89eac0a0d9ce9c,B1,0.75,usable,society_culture
2e89eac0a0d9ce9c,M,0.75,usable,society_culture
2e89eac0a0d9ce9c,M_vision,0.6666666666666666,usable,society_culture
30b5c4969ddfed66,B1,0.8333333333333334,soft,sports
30b5c4969ddfed66,M,0.8571428571428571,soft,sports
30b5c4969ddfed66,M_vision,0.8571428571428571,soft,sports
3250774db0f2ceca,B1,0.9375,usable,society_culture
3250774db0f2ceca,M,0.7692307692307693,usable,society_culture
3250774db0f2ceca,M_vision,1.0,usable,society_culture
32fa8e95b3adaff4,M_vision,0.5,soft,international
33a8425b41c07497,B1,0.8333333333333334,soft,society_culture
33a8425b41c07497,M,0.8571428571428571,soft,society_culture
33a8425b41c07497,M_vision,0.8888888888888888,usable,society_culture
3450b9174d976c15,B1,0.875,usable,business_technology_science
3450b9174d976c15,M,0.8181818181818182,usable,business_technology_science
3450b9174d976c15,M_vision,1.0,usable,business_technology_science
35a04bfdc772d2e8,B1,0.6666666666666666,soft,international
35a04bfdc772d2e8,M,1.0,usable,international
35a04bfdc772d2e8,M_vision,1.0,usable,international
36dc75121099f9ca,B1,0.8333333333333334,usable,society_culture
36dc75121099f9ca,M,1.0,usable,society_culture
36dc75121099f9ca,M_vision,1.0,usable,society_culture
39d02c1623a3088c,B1,1.0,usable,politics_conflict
39d02c1623a3088c,M,0.75,usable,politics_conflict
39d02c1623a3088c,M_vision,1.0,usable,politics_conflict
3acaee9a1831b6b2,B1,0.8888888888888888,usable,politics_conflict
3acaee9a1831b6b2,M,1.0,usable,politics_conflict
3acaee9a1831b6b2,M_vision,0.7142857142857143,usable,politics_conflict
40476177bdae3546,B1,1.0,usable,society_culture
40476177bdae3546,M,1.0,usable,society_culture
40476177bdae3546,M_vision,1.0,usable,society_culture
409d46ae981738b3,B1,0.5454545454545454,usable,society_culture
409d46ae981738b3,M,0.5,usable,society_culture
409d46ae981738b3,M_vision,0.6666666666666666,usable,society_culture
44846523b270808f,B1,1.0,usable,politics_conflict
44846523b270808f,M,1.0,usable,politics_conflict
44846523b270808f,M_vision,1.0,usable,politics_conflict
448ccf42cc5a7140,B1,0.9,usable,society_culture
448ccf42cc5a7140,M,1.0,usable,society_culture
448ccf42cc5a7140,M_vision,1.0,usable,society_culture
456c5fb4db72d56e,M,0.8571428571428571,soft,society_culture
456c5fb4db72d56e,M_vision,1.0,soft,society_culture
46d78553421a9646,B1,0.8,usable,politics_conflict
46d78553421a9646,M,1.0,usable,politics_conflict
46d78553421a9646,M_vision,1.0,usable,politics_conflict
48b2b37a17d2de45,B1,0.8888888888888888,usable,politics_conflict
48b2b37a17d2de45,M,0.9,usable,politics_conflict
48b2b37a17d2de45,M_vision,0.9090909090909091,usable,politics_conflict
4a1978d8e88bb37b,B1,1.0,usable,politics_conflict
4a1978d8e88bb37b,M,1.0,usable,politics_conflict
4a1978d8e88bb37b,M_vision,0.7,usable,politics_conflict
4aca9f5642c12ea8,B1,0.9090909090909091,usable,society_culture
4aca9f5642c12ea8,M,1.0,usable,society_culture
4aca9f5642c12ea8,M_vision,1.0,usable,society_culture
4c21833078b5508a,B1,0.5,soft,society_culture
4c21833078b5508a,M,0.4,usable,society_culture
4c21833078b5508a,M_vision,1.0,usable,society_culture
4d2083c00f2c7207,M,0.8571428571428571,soft,politics_conflict
