test_id,headline,section,category,query
30b5c4969ddfed66,Australian Open 2024 women's final result: Aryna Sabalenka beats Zheng Qinwen in Melbourne - BBC Sport,Tennis,sports,Who won the women's final at the Australian Open 2024?
fcc380721b5b90b7,Simone Biles felt like 'failure' after Tokyo Olympics - BBC Sport,Gymnastics,sports,What did Simone Biles say about her feelings after the Tokyo Olympics?
cf51b562ce4b151e,Australian Open 2024 results: Emma Raducanu loses to Wang Yafan - BBC Sport,Tennis,sports,Which player did Emma Raducanu lose to at the Australian Open 2024?
02a07ad9c7a29286,Luke Littler beats Rob Cross to reach World Darts Championship final - BBC Sport,Darts,sports,Who did Luke Littler defeat to reach the World Darts Championship final?
060d93d8f53ccd70,Tesco tech hitch leaves deliveries in 'shambles' - BBC News,Business,business_technology_science,What issues did Tesco face with their deliveries recently?
e2249155d11e59ec,Peregrine lander: American Moon mission destroyed over Pacific Ocean - BBC News,Science & Environment,business_technology_science,What happened to the American Moon mission involving the Peregrine lander?
de904b73ea02e0d2,"Motorway electric car charge point target missed, says RAC - BBC News",Business,business_technology_science,What did the RAC say about the motorway electric car charge point target?
76a2bffc125b8877,Peregrine lander: Time running out for US Moon mission - BBC News,Science & Environment,business_technology_science,What is the current status of the US Moon mission with the Peregrine lander?
a18dda71df8865ef,Huge push for Gaza aid - but little hope for those suffering - BBC News,Middle East,politics_conflict,What efforts are being made for aid in Gaza?
9e44023bc293e53a,"Council tax bands need overhauling, northern business group says - BBC News",UK Politics,politics_conflict,What changes do northern business groups want for council tax bands?
935f5da232d9692b,Israeli minister outlines plans for Gaza after war - BBC News,Middle East,politics_conflict,What plans did an Israeli minister outline for Gaza after the war?
6db4924d15b74dad,"100 days since Hamas attacked Israel, triggering war in Gaza - BBC News",Middle East,politics_conflict,What significant event occurred 100 days after Hamas attacked Israel?
1c2cf0692ea35a78,"China: At least 20 dead, dozens missing in Yunnan landslide - BBC News",China,international,"What was the outcome of the landslide in Yunnan, China?"
556da39750eea302,Boeing 737 Max 9: United Airlines finds loose bolts in jet inspections - BBC News,US & Canada,international,What did United Airlines find during inspections of the Boeing 737 Max 9?
6d829e7bd943bfc0,British man Aditya Verma appears in Spanish court over plane-bomb hoax - BBC News,Europe,international,Why did Aditya Verma appear in a Spanish court?
a5e6dc1584d225ec,China reveals British national sentenced to jail in 2022 for spying - BBC News,China,international,What was revealed about a British national sentenced for spying in China?
f0e21d85bbfdba7b,Trains: £2bn to re-open Carmarthen to Bangor lines - BBC News,Wales,society_culture,What is the plan for reopening the train lines from Carmarthen to Bangor?
0c1244b85425067a,Alexei Navalny jokes in January video from penal colony - BBC News,,society_culture,What did Alexei Navalny say in his January video from prison?
bcded98e450023c8,Sir Jeffrey Donaldson: DUP leader faces down critics after threats - BBC News,Northern Ireland,society_culture,How did Sir Jeffrey Donaldson respond to critics and threats?
9bb3a8fb413510c1,Sarah Ferguson's 'shock' at skin cancer diagnosis - BBC News,UK,society_culture,What was Sarah Ferguson's reaction to her skin cancer diagnosis?
