test_id,config,claim_index,claim,support,supported,reason
bdbd051eed422090,M_nocap,1,Shipping costs have surged significantly.,unsupported,False,"Evidence mentions rising commodity prices and prices affecting consumers, not explicitly shipping costs."
bdbd051eed422090,M_nocap,2,Attacks by Houthi rebels in the Red Sea increased by 500% between November and December.,text_only,True,Evidence explicitly states Houthi attacks increased 500% between November and December.
bdbd051eed422090,M_nocap,3,Major shipping companies have ceased operations in the Red Sea region.,text_only,True,Evidence says major shipping companies ceased sailing or stopped vessels using the Red Sea route.
bdbd051eed422090,M_nocap,4,Insurance costs increased tenfold.,text_only,True,Evidence explicitly states insurance costs rose tenfold.
bdbd051eed422090,M_nocap,5,Twenty percent of the world's container ships were forced to reroute around the southern tip of Africa.,text_only,True,Evidence says 20% of container ships avoided the Red Sea and used southern Africa routes.
bdbd051eed422090,M_nocap,6,The rerouting added substantial delays to shipping times.,text_only,True,Evidence specifies rerouting delays of 12 to 18 days on certain routes.
bdbd051eed422090,M_nocap,7,The disruption is expected to impact global supply chains.,text_only,True,Evidence says rerouting could severely disrupt global supply chains.
bdbd051eed422090,M_nocap,8,The disruption is expected to contribute to rising inflation.,text_only,True,Evidence says inflation is at risk of rising following Red Sea attacks.
bdbd051eed422090,M_nocap,9,Maersk reports that the effects are being felt by consumers.,text_only,True,Evidence says Maersk reported effects were felt down to the end consumer.
bdbd051eed422090,M_nocap,10,The situation prompted military responses from the United States and the United Kingdom.,text_only,True,Evidence states the US and UK launched military strikes against the Houthis.
bdbd051eed422090,M_nocap,11,The military responses aim to deter further Houthi attacks on commercial shipping.,unsupported,False,Evidence reports strikes but does not state their purpose was deterring further attacks.
bdbd051eed422090,M,1,Shipping costs have surged significantly.,unsupported,False,"Evidence mentions rising commodity prices, not explicitly significantly higher shipping costs."
bdbd051eed422090,M,2,Attacks by Houthi rebels in the Red Sea increased by 500% between November and December.,text_only,True,Evidence explicitly states Houthi attacks increased 500% between November and December.
bdbd051eed422090,M,3,Major shipping companies have ceased operations in the Red Sea region.,text_only,True,Evidence says major shipping companies ceased sailing or stopped using the Red Sea route.
bdbd051eed422090,M,4,Insurance costs increased tenfold.,text_only,True,Evidence explicitly states insurance costs rose tenfold.
bdbd051eed422090,M,5,Twenty percent of the world's container ships were forced to reroute around the southern tip of Africa.,text_only,True,Evidence reports 20% of container ships avoided the Red Sea via southern Africa.
bdbd051eed422090,M,6,The rerouting added substantial delays to shipping times.,text_only,True,Evidence states rerouting can add 12 to 18 days on specified routes.
bdbd051eed422090,M,7,The disruption is expected to impact global supply chains.,text_only,True,Evidence says rerouting could severely disrupt global supply chains.
bdbd051eed422090,M,8,The disruption is expected to contribute to rising inflation.,text_only,True,Evidence says disruption could push prices up and inflation may rise again.
bdbd051eed422090,M,9,Maersk reports that the effects are being felt by consumers.,text_only,True,Evidence says Maersk reported effects were felt down to the end consumer.
bdbd051eed422090,M,10,The situation prompted military responses from the United States and the United Kingdom.,text_only,True,Evidence states the US and UK launched military strikes and shows US-UK strikes.
bdbd051eed422090,M,11,The military responses aim to deter further Houthi attacks on commercial shipping.,unsupported,False,Evidence reports strikes after attacks but does not explicitly state deterrence as their aim.
bdbd051eed422090,M_vision,1,Shipping costs have surged significantly.,unsupported,False,"Text reports insurance costs rose tenfold and rerouting affected shipping, but does not explicitly state shipping costs surged."
bdbd051eed422090,M_vision,2,Attacks by Houthi rebels in the Red Sea increased by 500% between November and December.,text_only,True,Text explicitly says Houthi attacks increased 500% between November and December.
bdbd051eed422090,M_vision,3,Major shipping companies have ceased operations in the Red Sea region.,text_only,True,Text explicitly says major shipping companies ceased sailing in the region.
bdbd051eed422090,M_vision,4,Insurance costs increased tenfold.,text_only,True,Text explicitly states insurance costs rose 10-fold since early December.
bdbd051eed422090,M_vision,5,Vessels were forced to reroute around the southern tip of Africa.,text_only,True,Text says companies rerouted vessels around Africa’s southern tip; image shows a container ship but not rerouting.
bdbd051eed422090,M_vision,6,The rerouting added significant transit time.,text_only,True,Text specifies rerouting around Africa can add 12 to 18 days of transit time.
bdbd051eed422090,M_vision,7,The disruption is impacting global supply chains.,text_only,True,Text says diversion may cause severe disruption to global supply chains.
bdbd051eed422090,M_vision,8,The disruption is contributing to rising prices.,text_only,True,Text says disruption could push up prices and has driven up commodity prices.
bdbd051eed422090,M_vision,9,Economists warn of potential inflation risks resulting from the disruption.,text_only,True,Text explicitly reports an economist warning inflation may rise following Red Sea attacks.
bdbd051eed422090,M_vision,10,The situation prompted military responses from the United States and the United Kingdom.,text_only,True,Text states the US and UK launched military strikes against the Houthis.
bdbd051eed422090,M_vision,11,The military responses aim to protect commercial shipping in the area.,unsupported,False,"Text describes strikes and shipping attacks, but does not state the military responses aimed to protect commercial shipping."
bdbd051eed422090,B1,1,Shipping costs have surged significantly.,unsupported,False,"Evidence reports insurance costs rising tenfold, but not general shipping costs."
bdbd051eed422090,B1,2,Attacks by Houthi rebels in the Red Sea increased by 500% between November and December.,text_only,True,Evidence explicitly states Houthi attacks increased 500% between November and December.
bdbd051eed422090,B1,3,Major shipping companies stopped using the Red Sea route.,text_only,True,Evidence says major shipping companies ceased sailing or stopped using the Red Sea route.
bdbd051eed422090,B1,4,The companies opted to travel around Africa's Cape of Good Hope instead.,text_only,True,"Evidence states companies rerouted around Africa, including the Cape of Good Hope."
bdbd051eed422090,B1,5,The route around the Cape of Good Hope is longer and more expensive.,text_only,True,Evidence describes the Cape route as longer and says it adds expense.
bdbd051eed422090,B1,6,The rerouting can add 12 to 18 days to shipping times.,text_only,True,Evidence states delays of 12 days and up to 18 days on specified routes.
bdbd051eed422090,B1,7,The disruption led to a tenfold increase in insurance costs.,text_only,True,Evidence explicitly reports insurance costs rose tenfold since early December.
bdbd051eed422090,B1,8,The disruption raised concerns about inflation.,text_only,True,"An economist warned Red Sea disruption could push prices up, indicating inflation concerns."
bdbd051eed422090,B1,9,The disruption raised concerns about economic growth.,text_only,True,The economist warned disruption would hit economic growth.
bdbd051eed422090,B1,10,Delays and vessel rerouting are expected to impact global supply chains.,text_only,True,Evidence says rerouting and disruption could severely disrupt global supply chains.
637cc4c8a3e7684c,B1,1,Voters have varying opinions about party leaders in the context of upcoming elections.,unsupported,False,"Evidence discusses leaders and elections, but not varying voter opinions about them."
637cc4c8a3e7684c,B1,2,Some Conservative MPs appreciate Lee Anderson's outspoken style.,text_only,True,Former Tory MPs are explicitly said to love Anderson’s outspoken style.
637cc4c8a3e7684c,B1,3,Some Conservative MPs believe Lee Anderson's style resonates with the concerns of real voters.,text_only,True,Those MPs think Anderson reflects real voters’ concerns.
637cc4c8a3e7684c,B1,4,Some people criticize the Conservative leadership as weak and chaotic.,text_only,True,"Labour calls Sunak weak, and describes Tory chaos over Rwanda."
637cc4c8a3e7684c,B1,5,Some people particularly criticize the Conservative leadership's handling of the Rwanda bill.,text_only,True,Labour specifically criticizes the government’s handling of the Rwanda bill.
637cc4c8a3e7684c,B1,6,Some Liberal Democrats call for the party to present its policies more boldly.,text_only,True,Senior party figures call for bolder emphasis on Liberal Democrat policies.
637cc4c8a3e7684c,B1,7,Some Liberal Democrats suggest that voters are seeking clear alternatives as the general election approaches.,text_only,True,Evidence says opposition parties face pressure to explain what voters should vote for.
637cc4c8a3e7684c,B1,8,Young voters in Taiwan prioritize economic issues over national security.,text_only,True,Survey respondents prioritize economic development over national security and cross-strait relations.
637cc4c8a3e7684c,B1,9,Young voters in Taiwan's priorities indicate a shift in what they expect from their leaders.,unsupported,False,Evidence reports priorities but does not establish a shift in expectations of leaders.
637cc4c8a3e7684c,M_nocap,1,Voter sentiment towards party leaders appears largely negative.,text_only,True,"Evidence describes polls as dire and political gloom, indicating broadly negative sentiment."
637cc4c8a3e7684c,M_nocap,2,Voter sentiment is particularly negative towards the Conservative Party under Rishi Sunak.,text_only,True,"Polls remain dire for Conservatives, with gloom surrounding Sunak’s leadership."
637cc4c8a3e7684c,M_nocap,3,Recent polls indicate a significant gap between the Conservatives and Labour.,text_only,True,YouGov projects Labour a 120-seat majority and reports an 18-point lead.
637cc4c8a3e7684c,M_nocap,4,Recent polls put the Conservatives 18 points behind Labour.,text_only,True,Evidence explicitly says Conservatives trail Labour by 18 points in polls.
637cc4c8a3e7684c,M_nocap,5,The polling gap has led Conservative MPs to worry about their job security.,text_only,True,Conservatives are described as fearful for their jobs.
637cc4c8a3e7684c,M_nocap,6,The polling gap has led Conservative MPs to worry about the party's future.,unsupported,False,Evidence reports gloom and concern but not specifically worry about the party’s future.
637cc4c8a3e7684c,M_nocap,7,Some Conservative MPs have called for a vote of confidence in Rishi Sunak.,text_only,True,Mutters indicate some Tory MPs submitted letters seeking a confidence vote.
637cc4c8a3e7684c,M_nocap,8,Calls for a vote of confidence reflect dissatisfaction with Sunak's leadership.,unsupported,False,"Confidence-vote letters imply dissatisfaction, though the evidence does not explicitly state their motivation."
637cc4c8a3e7684c,M_nocap,9,The Liberal Democrats are attempting to capitalize on dissatisfaction with the Conservatives.,text_only,True,Lib Dems target disgruntled Tory voters and highlight their own policies.
637cc4c8a3e7684c,M_nocap,10,The Liberal Democrats suggest that opposition parties need to clarify their policies to attract voters.,text_only,True,Evidence says opposition parties face pressure to spell out what people should vote for.
637cc4c8a3e7684c,M,1,Voter sentiment towards party leaders appears largely negative.,text_only,True,"Evidence reports dire polls, gloom, and failed attempts to improve Conservative standing."
637cc4c8a3e7684c,M,2,Voter sentiment is particularly negative towards the Conservative Party under Rishi Sunak.,text_only,True,"Conservative polls are dire, with gloom and criticism directed at Sunak’s leadership."
637cc4c8a3e7684c,M,3,Recent polls indicate a significant gap between the Conservatives and Labour.,text_only,True,Evidence reports Labour’s projected majority and an 18-point polling lead.
637cc4c8a3e7684c,M,4,Recent polls put the Conservatives 18 points behind Labour.,text_only,True,The evidence explicitly reports Conservatives trailing Labour by 18 points.
637cc4c8a3e7684c,M,5,The polling gap has led Conservative MPs to worry about their electoral prospects.,text_only,True,Conservatives are described as fearful for their jobs and electoral prospects.
637cc4c8a3e7684c,M,6,Some Conservative MPs have called for a vote of confidence in Rishi Sunak.,text_only,True,A handful of Tory MPs reportedly submitted letters seeking a confidence vote.
637cc4c8a3e7684c,M,7,Calls for a vote of confidence reflect a lack of confidence in Sunak's leadership.,unsupported,False,"Seeking a confidence vote indicates dissatisfaction, though the claim’s wording is interpretive."
637cc4c8a3e7684c,M,8,The Liberal Democrats are attempting to capitalize on dissatisfaction within the Conservative Party.,text_only,True,Lib Dems target disgruntled Tory voters and criticize possible Conservative leadership changes.
637cc4c8a3e7684c,M,9,The Liberal Democrats are targeting disillusioned Conservative voters.,text_only,True,Evidence explicitly says targeting disgruntled Tory voters is part of the strategy.
637cc4c8a3e7684c,M,10,Some Liberal Democrats call for the party to articulate its own policies more clearly.,text_only,True,Several senior Liberal Democrats call for bolder emphasis on party policies.
637cc4c8a3e7684c,M_vision,1,Voter sentiment towards party leaders appears largely negative.,text_only,True,"Evidence describes dire Conservative polling and gloom, but not broadly negative sentiment toward all party leaders."
637cc4c8a3e7684c,M_vision,2,Voter sentiment is particularly negative towards the Conservative Party under Rishi Sunak.,text_only,True,"Text reports dire Tory polls, gloom among Conservatives, and repeated failures under Sunak."
637cc4c8a3e7684c,M_vision,3,Recent polls indicate a significant gap between the Conservatives and Labour.,text_only,True,Text reports Labour leading Conservatives by 18 points and projecting a large Labour majority.
637cc4c8a3e7684c,M_vision,4,Recent polls put the Conservatives 18 points behind Labour.,text_only,True,Text explicitly says the Conservatives trail Labour by 18 points in polls.
637cc4c8a3e7684c,M_vision,5,The polling gap has led Conservative MPs to worry about the party's future.,text_only,True,Text says Conservatives fear for their jobs and warns of a decade of decline.
637cc4c8a3e7684c,M_vision,6,The polling gap has led Conservative MPs to worry about Sunak's leadership.,text_only,True,Text reports letters seeking a confidence vote and calls for Sunak's replacement.
637cc4c8a3e7684c,M_vision,7,Some Conservative MPs have called for a vote of confidence in Rishi Sunak.,text_only,True,Text says a handful of Tory MPs submitted letters calling for a confidence vote.
637cc4c8a3e7684c,M_vision,8,Some Conservative MPs have expressed dissatisfaction with Sunak's handling of key policies.,text_only,True,Text describes irritation with government handling and open rebellion over the Rwanda Bill.
637cc4c8a3e7684c,M_vision,9,The Liberal Democrats are attempting to capitalize on dissatisfaction within the Conservative Party.,text_only,True,Text says Liberal Democrats target Conservative seats and highlights Tory dissatisfaction indirectly.
637cc4c8a3e7684c,M_vision,10,Opposition parties are being urged to clarify their positions as the general election approaches.,text_only,True,Text says opposition parties face pressure to explain what voters should support as well as oppose.
ef09bed7263a6f1c,B1,1,Ministers are considering various options to expedite justice for victims of the Post Office scandal.,unsupported,False,NO_VERDICT_RETURNED
ef09bed7263a6f1c,B1,2,The Post Office scandal has been described as a significant miscarriage of justice.,unsupported,False,NO_VERDICT_RETURNED
ef09bed7263a6f1c,B1,3,Government lawyers are exploring the possibility of specific legislation aimed at exonerating the hundreds of affected sub-postmasters.,unsupported,False,NO_VERDICT_RETURNED
ef09bed7263a6f1c,B1,4,Prime Minister Rishi Sunak has acknowledged the legal complexities involved.,unsupported,False,NO_VERDICT_RETURNED
ef09bed7263a6f1c,B1,5,Rishi Sunak said that the Justice Secretary is reviewing options.,unsupported,False,NO_VERDICT_RETURNED
ef09bed7263a6f1c,B1,6,One option under review is potentially stripping the Post Office of its role in the appeal process.,unsupported,False,NO_VERDICT_RETURNED
ef09bed7263a6f1c,B1,7,There is a push to reduce bureaucracy in compensation schemes.,unsupported,False,NO_VERDICT_RETURNED
ef09bed7263a6f1c,B1,8,The push to reduce bureaucracy is intended to accelerate the process for victims awaiting settlements.,unsupported,False,NO_VERDICT_RETURNED
