test_id,query,rank_alpha_0,rank_alpha_0.25,rank_alpha_0.5,rank_alpha_0.75,rank_alpha_0.9,rank_alpha_1,rank_rrf
5566032ea6850f59,Why did police not arrest the killer after previous assaults?,30,4,1,1,1,2,4
6a088e83c5c41dbd,Why did Trump challenge his removal from Maine's ballot?,3,1,1,1,1,1,2
1cf0aaeeb65a416f,Why is there no investigation into Prince Andrew by the Met Police?,2,2,1,2,2,2,2
2e4b9c8d039eb7b0,Is Royal Mail considering scrapping Saturday post as part of Ofcom's reform options?,1,1,1,1,1,1,1
fb139a5996b312cc,Why are thousands calling for the release of hostages at a pro-Israel rally in London?,1,1,1,1,1,1,1
295e76dcda916a46,Why was Reed Wischhusen jailed for planning a mass shooting?,1,1,1,1,1,1,1
eb6d55bf545c1043,Did the Post Office mislead Ed Davey about the scandal?,7,1,1,1,1,1,1
f45528dc9196244f,Did Sunak want Dominic Cummings to secretly work on election strategy?,125,22,4,1,1,1,20
fa893231a293d846,"What happened to Sir Tony Lloyd, the Rochdale Labour MP?",1,1,1,1,1,1,1
3ee8ef988f72fa5d,Why is a mother in UK court after her children's deaths in Colorado?,29,14,9,8,11,11,8
3d8db36e3cf3f83d,Why was the children's home in Altrincham temporarily shut?,431,157,13,3,1,1,19
a2980a2eef6bdbd7,Why did a prison officer win a payout related to inmates' drugs?,1,1,1,1,1,1,1
bfbb4fa21444cab4,Why is Logan Paul offering a partial refund for the CryptoZoo game?,1,1,1,1,1,1,1
d1848426f6168021,Is the government considering more migrant barges for Bibby Stockholm?,37,11,1,1,1,1,10
5df91e4cb4555450,"How was £3,000 stolen through a WhatsApp job scam message?",1,1,1,1,1,1,1
5749f4ccdf29a42c,Why did giraffe Benito escape extreme temperatures for a new home?,1,1,1,1,1,1,1
0c0e9b0dbab30c18,What did George Elokobi say about Maidstone United's FA Cup win over Ipswich?,4,2,2,1,1,1,2
2dfba56c4d537d9a,Why does Jodie Foster find Gen Z annoying to work with?,1,1,1,1,1,1,1
c572709b70bc5077,Will there be further tax cuts according to Chancellor Jeremy Hunt?,3,1,1,1,1,1,1
21bb0191fd8e8e37,What happened to campaigning Australian journalist John Pilger?,1,1,1,1,1,1,1
020d3d213643f8ec,Why are Israeli troops pushing deep into Khan Younis?,66,33,11,7,6,5,17
b5126b9281563b13,Why do local councils say foster carer numbers in Wales need to increase?,42,6,1,1,1,1,6
9c112637f060fec0,What happened to the Russian jet carrying Ukrainian PoWs?,1,1,1,1,2,2,1
d64545a1d0391eb7,What is the story of the Sugar Boat shipwreck on the Clyde?,1,1,1,1,1,1,1
3b9de4ebe5332c3a,How does Meta's tool block nude images in teens' private messages?,8,1,1,1,1,1,2
f75d02f62d98f96f,Who did Luke Littler beat to reach the semi-finals of the PDC World Championship?,7,5,5,5,4,4,5
bdbd051eed422090,Why have shipping costs jumped 250% due to Red Sea attacks?,2,1,2,4,8,11,2
5a549f43b5441a9d,"What rare Star Wars Jawa figure was found in a loft and sold for £19,500?",1,1,1,1,1,1,1
744c413bc02c7dc7,What military action are the US and UK considering after the Houthi attack in the Red Sea?,245,65,29,20,15,7,42
3ed2f261d7fb7262,Why is the sub-postmistress urging people not to boycott post offices?,7,5,1,1,1,1,2
c91a5523f1e1a18b,Why did Iran free Niloufar Hamedi and Elaheh Mohammadi?,1,1,1,1,1,1,1
dc040f96f19af9ae,What is next for Oscar Pistorius?,1,1,1,1,1,1,1
58f25e52c827fac6,What are the UK government's plans for nuclear power expansion?,1,1,1,1,1,1,1
a536e59da1a934c2,Who was killed in Beirut?,106,39,14,4,3,3,23
2d00931580e5a7ce,Why are child sexual abuse victims waiting longer for help?,102,10,2,1,1,1,10
519a43778dd1ff48,Why does a 12-year-old boy in Devon prioritize football despite scoring an IQ of 162?,1,1,1,1,1,1,1
ca45477f2fe4fb14,Why are big supermarkets cutting the price of Aptamil baby milk formula?,1,1,1,1,1,1,1
291544763564a8bf,Who was held over a plot to disrupt the London Stock Exchange?,1,1,1,1,1,1,1
88a351de340154af,What is the mystery surrounding the Sea Eagle spotted by a farmer in Gwynedd?,1,1,1,1,1,1,1
17257fe76636c068,What decisions were made in Scotland during the Covid inquiry?,58,7,2,1,1,1,6
99b9ab090a86fa86,What happened to the boy who died after a dangerous prank at the river?,354,93,15,2,1,1,29
697dd9e632834ab0,What do police videos reveal about grooming fantasist Eleanor Williams' deceit?,77,6,2,1,1,1,4
35bb4b12e30b54c8,Why is the Home Office banning Hizb ut-Tahrir as a terror group?,4,1,1,1,1,1,1
11c4cea9638ae8fa,Is Patsy Palmer returning to EastEnders as Bianca?,2,1,1,1,1,1,1
f924c3bb5f74d6ee,What new footage shows inspection after a dramatic mid-air blowout on a Boeing plane?,2,2,5,8,8,10,5
f712b1df8694a1d9,Why did the Fujitsu boss say they let society down over the Post Office role?,138,18,8,2,2,2,22
ae7569a952f03243,Did the mother in the Alfie Phillips murder trial say she did not bite the baby?,3,1,1,1,1,1,1
62994d7bd0e2311d,Why does a mum want mandatory jail terms for knife carrying?,134,9,2,2,1,1,11
287e025413b7129e,Did David Cameron receive a £10m payment from Greensill Capital?,1,1,1,1,1,1,1
