test_id,config,claim_index,claim,supported,reason
002453fbc7cdd591,B0,1,The Houthi rebels are from Yemen.,True,Evidence repeatedly calls them Iran-backed Yemeni rebel group controlling Yemen.
002453fbc7cdd591,B0,2,The Houthi rebels launched a missile strike.,True,Evidence describes multiple Houthi missile strikes on ships.
002453fbc7cdd591,B0,3,The missile strike targeted a US-owned ship.,True,Text says Houthis struck a 'US-owned cargo ship' in Gulf of Aden.
002453fbc7cdd591,B0,4,The missile strike occurred in the Red Sea.,False,"That specific US-owned ship strike is described as in Gulf of Aden, not Red Sea."
002453fbc7cdd591,B0,5,The missile strike escalated tensions in the region.,False,Evidence does not state the strike escalated regional tensions.
002453fbc7cdd591,B0,6,The attack raised concerns about maritime security.,False,No mention of concerns about maritime security being raised.
002453fbc7cdd591,B0,7,The attack raised concerns about the potential for broader conflict.,False,Evidence does not discuss potential for broader conflict.
002453fbc7cdd591,B0,8,The Houthis claimed the attack was a response to ongoing military actions against them.,False,"Houthis say attacks target Israeli-linked ships over Gaza, not response to being struck."
002453fbc7cdd591,B0,9,The US government condemned the strike.,False,"Evidence shows US launched strikes, not condemnation of a strike."
002453fbc7cdd591,B0,10,The US government emphasized its commitment to protecting commercial shipping.,True,US and UK said trying to protect the 'free flow of commerce'.
002453fbc7cdd591,B0,11,The US government emphasized its commitment to ensuring freedom of navigation in international waters.,True,Biden cited 'freedom of navigation' as reason for strikes.
002453fbc7cdd591,B0,12,The incident highlights ongoing instability in Yemen.,False,Evidence does not frame events as general Yemen instability.
002453fbc7cdd591,B0,13,The incident has implications for regional trade routes.,True,Evidence repeatedly references Red Sea as vital shipping/trade route.
002453fbc7cdd591,B0,14,The incident has implications for global trade routes.,False,"Evidence discusses Red Sea trade route, not global trade routes broadly."
002453fbc7cdd591,B1,1,The Houthi rebels have recently escalated their missile attacks on shipping in the Red Sea.,True,"Evidence describes ongoing/escalating Houthi missile attacks since November, over 100 attacks."
002453fbc7cdd591,B1,2,The Houthi rebels conducted a successful missile strike on a US-owned cargo ship in the Gulf of Aden.,True,Evidence states Houthis claimed ballistic missile strike on US-owned cargo ship in Gulf of Aden.
002453fbc7cdd591,B1,3,The strike on the US-owned cargo ship is reported to be the first successful missile strike on an American vessel by the Houthis since their campaign began.,True,Evidence explicitly calls it first successful attack on American ship since campaign began.
002453fbc7cdd591,B1,4,The US has conducted multiple airstrikes targeting Houthi missile launch sites.,True,Multiple articles describe repeated US strikes on Houthi missile launch sites.
002453fbc7cdd591,B1,5,The US conducted the airstrikes in response to the Houthi attacks.,True,"Evidence links strikes to protecting shipping from Houthi attacks, implying response."
002453fbc7cdd591,B1,6,The purpose of the US airstrikes was to prevent further attacks.,True,"Evidence states strikes destroyed missiles about to be fired, i.e., preventive."
002453fbc7cdd591,B1,7,The US has emphasized that Houthi missiles pose an imminent threat to merchant and naval vessels in the region.,True,Centcom statement explicitly calls missiles an imminent threat to ships.
002453fbc7cdd591,B1,8,The Houthis claim their attacks are aimed at vessels linked to Israel.,True,Evidence states Houthis say attacks target Israeli-linked vessels.
002453fbc7cdd591,B1,9,Many of the ships targeted by the Houthis have no connections to Israel.,True,Evidence explicitly states many targeted ships have no Israel connections.
002453fbc7cdd591,M,1,Houthi forces were involved in a series of missile attacks in the Red Sea.,True,Houthis attacked ships in Red Sea per evidence.
002453fbc7cdd591,M,2,US naval vessels were involved in a series of missile attacks in the Red Sea.,False,"US vessels defended/shot down missiles, not attacked ships."
002453fbc7cdd591,M,3,The US military intercepted a missile.,True,US shot down a missile fired towards USS Laboon.
002453fbc7cdd591,M,4,The intercepted missile was fired from a Houthi-controlled area.,True,Missile fired from Houthi-run area near Hudaydah.
002453fbc7cdd591,M,5,The intercepted missile was fired towards the USS Laboon.,True,Missile was fired towards the USS Laboon per evidence.
002453fbc7cdd591,M,6,The interception of the missile was successful.,True,Missile was downed successfully by US fighter aircraft.
002453fbc7cdd591,M,7,No injuries were reported from the missile fired towards the USS Laboon.,True,"No injuries reported in the incident, per evidence."
002453fbc7cdd591,M,8,No damage was reported from the missile fired towards the USS Laboon.,True,"No damage reported in the incident, per evidence."
002453fbc7cdd591,M,9,The Houthis launched a ballistic missile at a US vessel in a separate incident.,True,Houthis hit another US vessel with a ballistic missile.
002453fbc7cdd591,M,10,The US vessel targeted in the separate incident was not the USS Laboon.,False,"Evidence doesn't specify which vessel, only 'another US vessel'."
002453fbc7cdd591,M,11,The attack on the US vessel was described as the Houthis' first successful attack on an American ship.,True,Described as first successful attack on American ship.
002453fbc7cdd591,M,12,The US has conducted multiple air strikes against Houthi targets.,True,Multiple rounds of US strikes described across articles.
002453fbc7cdd591,M,13,The US air strikes were conducted in response to the missile threats.,True,Strikes described as pre-emptive against imminent missile threats.
002453fbc7cdd591,M,14,The US air strikes aim to protect international shipping in the region.,True,Strikes framed as protecting free flow of commerce.
002453fbc7cdd591,M,15,The US air strikes aim to maintain freedom of navigation in the region.,True,Biden quote mentions freedom of navigation as goal.
002453fbc7cdd591,M_nocap,1,Houthi forces launched a series of missile attacks targeting US naval vessels in the Red Sea.,True,Evidence describes multiple missile/drone attacks on US vessels by Houthis.
002453fbc7cdd591,M_nocap,2,The US military intercepted a missile aimed at the USS Laboon.,True,US fighter aircraft shot down missile fired towards USS Laboon.
002453fbc7cdd591,M_nocap,3,The interception of the missile aimed at the USS Laboon was successful.,True,"Missile was downed, no injuries or damage reported."
002453fbc7cdd591,M_nocap,4,The Houthis launched a ballistic missile at another US ship.,True,"Houthis hit another US vessel with a ballistic missile, per evidence."
002453fbc7cdd591,M_nocap,5,The launch of a ballistic missile at another US ship marked a significant escalation in the Houthis' campaign against American vessels.,False,"Evidence calls it first successful attack, not described as 'significant escalation'."
002453fbc7cdd591,M_nocap,6,The US conducted multiple air strikes against Houthi targets in Yemen.,True,"Multiple strikes described: fourth round, Poseidon Archer, joint strikes."
002453fbc7cdd591,M_nocap,7,The UK conducted multiple air strikes against Houthi targets in Yemen.,True,UK joined US in multiple strikes per evidence 3 and 4.
002453fbc7cdd591,M_nocap,8,The air strikes by the US and UK aimed to neutralize threats to shipping in the region.,True,Strikes aimed to protect free flow of commerce/shipping.
002453fbc7cdd591,M_nocap,9,The Houthis have been actively targeting vessels.,True,"Houthis attacking ships in Red Sea since November, per evidence 5."
002453fbc7cdd591,M_nocap,10,The Houthis claim their actions are in retaliation against perceived Western involvement in regional conflicts.,False,"Evidence says attacks target vessels linked to Israel/Gaza war, not general Western involvement."
