test_id,headline,section,category,query
060d93d8f53ccd70,Tesco tech hitch leaves deliveries in 'shambles' - BBC News,Business,business_technology_science,What issues did Tesco face with their deliveries recently?
9bb3a8fb413510c1,Sarah Ferguson's 'shock' at skin cancer diagnosis - BBC News,UK,society_culture,What was Sarah Ferguson's reaction to her skin cancer diagnosis?
4f0231cf23c94485,Norwich: Family of four found dead in house - BBC News,Norfolk,society_culture,What happened to the family of four found dead in Norwich?
24bb2451c2227bdb,Wales: Devolving justice powers would be calamitous - Buckland - BBC News,Wales,society_culture,Why does Buckland believe devolving justice powers in Wales would be disastrous?
bd703884ca4466ed,UK Covid inquiry: Nicola Sturgeon's Covid WhatsApp messages 'all deleted' - BBC News,Scotland,society_culture,What happened to Nicola Sturgeon's Covid WhatsApp messages during the UK inquiry?
f0e21d85bbfdba7b,Trains: £2bn to re-open Carmarthen to Bangor lines - BBC News,Wales,society_culture,What is the plan for reopening the train lines from Carmarthen to Bangor?
e2249155d11e59ec,Peregrine lander: American Moon mission destroyed over Pacific Ocean - BBC News,Science & Environment,business_technology_science,What happened to the American Moon mission involving the Peregrine lander?
935f5da232d9692b,Israeli minister outlines plans for Gaza after war - BBC News,Middle East,politics_conflict,What plans did an Israeli minister outline for Gaza after the war?
002af1e8e4bf3974,UK weather: Sub-zero temperatures to ease after coldest night - BBC News,UK,society_culture,How are temperatures expected to change after the coldest night in the UK?
9ef0b82909704b45,US Congress votes to avoid looming government shutdown - BBC News,US & Canada,international,What measures did US Congress take to prevent a government shutdown?
cf51b562ce4b151e,Australian Open 2024 results: Emma Raducanu loses to Wang Yafan - BBC Sport,Tennis,sports,Which player did Emma Raducanu lose to at the Australian Open 2024?
62b11ba0acb16de1,Humza Yousaf defends inviting Recep Tayyip Erdogan to Scotland - BBC News,Scotland,society_culture,Why did Humza Yousaf invite Recep Tayyip Erdogan to Scotland?
d5cf26fef420979f,Tata Steel: Unions condemn plans for UK's biggest steelworks - BBC News,Wales,society_culture,What are the unions' concerns about Tata Steel's plans for the steelworks?
36dc75121099f9ca,Scottish government announces XL Bully dog 'ban' - BBC News,Scotland,society_culture,What are the details of the Scottish government's XL Bully dog ban?
11bc3fc1cb900287,Liverpool shooting: Arrest after shots fired at Showcase cinema and shop - BBC News,Liverpool,society_culture,What led to the arrest after the Liverpool shooting at the cinema?
4c21833078b5508a,'We had to investigate our autistic son's death' - BBC News,Manchester,society_culture,Why did the family investigate their autistic son's death?
e2bf59be1ee1ecce,Jeffrey Epstein list: Who is named in court filings? - BBC News,US & Canada,international,Who is mentioned in the Jeffrey Epstein court filings?
bb07fa1a1859a7ab,Soldier who shot child killed himself waiting for therapy - BBC News,Wales,society_culture,What circumstances surrounded the soldier's death after shooting a child?
d4daf24782ca1fed,Trump asks Supreme Court to overturn Colorado ban - BBC News,US & Canada,international,What is Trump's request to the Supreme Court regarding the Colorado ban?
33a8425b41c07497,The para-swimmer who found her freedom in the water - BBC News,Wales,society_culture,How did the para-swimmer find freedom through swimming?
48b2b37a17d2de45,Houthis defiant after warning over Red Sea attacks - BBC News,Middle East,politics_conflict,What warnings did the Houthis issue regarding Red Sea attacks?
4fc56eef6e4eb4d7,"Swedish snow chaos leaves 1,000 vehicles trapped on main E22 road - BBC News",Europe,international,What caused the chaos on the E22 road in Sweden?
9447bb643eaf92a8,Sunderland's Jack Diamond says rape accuser initiated sex - BBC News,Wear,society_culture,What did Jack Diamond say about the rape accusation against him?
dad76cb1db618bca,San Francisco Golden Gate Bridge gets suicide net after 87 years - BBC News,US & Canada,international,Why was a suicide net installed on the Golden Gate Bridge after 87 years?
92300df29dbcea3e,"Iowa school attack: Six people shot, one fatally, on first day back - BBC News",US & Canada,international,What happened during the Iowa school attack on the first day back?
9f02f2666ad58ccd,Mother of killed Israeli calls Hamas videos 'psychological warfare' - BBC News,Middle East,politics_conflict,What did the mother of the killed Israeli say about Hamas videos?
598b27da8ac1d2b4,Brits living abroad for more than 15 years get general election vote - BBC News,UK Politics,politics_conflict,How can Brits living abroad for over 15 years vote in elections?
ba5833c794d79d47,Jose Mourinho: Roma sack manager who brought them European success - BBC Sport,,society_culture,Why was Jose Mourinho sacked by Roma after European success?
b4e110e18f6b5b57,The BBC News app keeps you informed with live and breaking news you can trust - BBC News,BBC News Services,society_culture,How does the BBC News app keep users informed?
06651158c9ca9498,Red Sea attacks: Greek vessel hit by missile fired by Houthi rebels - BBC News,Middle East,politics_conflict,What happened to the Greek vessel hit by a missile in the Red Sea?
bbd1b2a0b0fdf371,US condemns Iran for 'reckless' missile strikes on northern Iraq - BBC News,Middle East,politics_conflict,What did the US say about Iran's missile strikes on Iraq?
c3f75f98e9df9033,"I'm acting alone, says Simon Clarke after calling for PM to go - BBC News",UK Politics,politics_conflict,What did Simon Clarke mean by acting alone in his call for the PM to resign?
32fa8e95b3adaff4,Man held for murder over South Africa building fire - BBC News,Africa,international,What led to the man's arrest for murder related to a building fire in South Africa?
ba44671906c5c380,Billionaire Joe Lewis pleads guilty to insider trading - BBC News,US & Canada,international,What charges did billionaire Joe Lewis plead guilty to?
77658461b4979f52,Shoaib Bashir: England spinner granted visa to travel to India - BBC Sport,,society_culture,What visa was granted to England spinner Shoaib Bashir for India?
070956fe9747473b,"Royal Mail could deliver on three days, regulator says - BBC News",Business,business_technology_science,What changes could occur in Royal Mail's delivery schedule according to the regulator?
9b3791371f2d89fe,US scientist recommends adding salt to make perfect cup of tea - BBC News,UK,society_culture,What does the US scientist suggest for making the perfect cup of tea?
fcfceb1fb88147ab,New Hampshire primary: How did Joe Biden win despite not being on the ballot? - BBC News,US & Canada,international,How did Joe Biden win the New Hampshire primary without being on the ballot?
4d2083c00f2c7207,Holocaust survivors criticise plans for new Westminster memorial - BBC News,UK Politics,politics_conflict,What are Holocaust survivors' criticisms of the new Westminster memorial plans?
bcded98e450023c8,Sir Jeffrey Donaldson: DUP leader faces down critics after threats - BBC News,Northern Ireland,society_culture,How did Sir Jeffrey Donaldson respond to critics and threats?
d7e4fbd4785d37d1,Brit Awards: Raye breaks record as women dominate 2024 nominations - BBC News,Entertainment & Arts,society_culture,What record did Raye break at the Brit Awards 2024?
a18dda71df8865ef,Huge push for Gaza aid - but little hope for those suffering - BBC News,Middle East,politics_conflict,What efforts are being made for aid in Gaza?
46d78553421a9646,Tracking Houthi attacks in the Red Sea - BBC News,Middle East,politics_conflict,How are Houthi attacks in the Red Sea being tracked?
30b5c4969ddfed66,Australian Open 2024 women's final result: Aryna Sabalenka beats Zheng Qinwen in Melbourne - BBC Sport,Tennis,sports,Who won the women's final at the Australian Open 2024?
7682d9936546be96,Gladiators: The referee who is also a firefighter - BBC News,Wales,society_culture,What is the story of the referee who is also a firefighter?
22c6ee9fcb3b716b,A guide to Donald Trump's four criminal cases - BBC News,US & Canada,international,What are the details of Donald Trump's four criminal cases?
74afa5f3a4a319e9,Xavi: Barcelona manager to leave at end of season - BBC Sport,,society_culture,Why is Barcelona's manager Xavi leaving at the end of the season?
85e667ee1a25ac55,UNRWA claims: UN chief in aid plea after staff accused of helping Hamas in Israel attack - BBC News,Middle East,politics_conflict,What aid plea did the UN chief make regarding UNRWA's claims?
b6ddf24f05c0091a,Post Office scandal: 'Mum was sent to prison on my 10th birthday' - BBC News,UK,society_culture,What impact did the Post Office scandal have on a mother and her son?
cfafbe2fecc54f4f,Spain's Hermoso testifies World Cup kiss was not consensual - BBC News,Europe,international,What did Hermoso say about the World Cup kiss incident?
88502391a3952417,Ukraine and Russia in 'biggest prisoner swap' so far - BBC News,Europe,international,What was significant about the latest prisoner swap between Ukraine and Russia?
c2e3e4c35a856070,"Storm Henk batters UK leading to power outages, travel disruption and flooding - BBC News",UK,society_culture,How did Storm Henk affect the UK?
2ae4c40adbe60b84,"South Wales fire service: Bosses tolerated sexual harassment, report says - BBC News",Wales,society_culture,What allegations were made against the South Wales fire service?
36146c7cc230d8dd,Andrew Lloyd Webber claims to have had a poltergeist - BBC News,London,society_culture,What claims did Andrew Lloyd Webber make about a poltergeist?
02a07ad9c7a29286,Luke Littler beats Rob Cross to reach World Darts Championship final - BBC Sport,Darts,sports,Who did Luke Littler defeat to reach the World Darts Championship final?
df3ebb56a6a48c7c,Mysterious medieval cemetery unearthed in Wales - BBC News,Science & Environment,business_technology_science,What was discovered in the medieval cemetery found in Wales?
fcd0fd0961018750,Students at Raac schools fear they are 'kissing top grades goodbye' - BBC News,Family & Education,society_culture,Why are students at Raac schools worried about their grades?
89069972a0046935,Universal Credit claims no longer paused while AI fraud checks carried out - BBC News,UK Politics,politics_conflict,What changes are happening to Universal Credit claims?
6df4022312087f03,"Newham: Newborn girl found in shopping bag less than hour old, police say - BBC News",London,society_culture,What happened to the newborn girl found in a shopping bag?
12f660940b0b8702,Cat and dog theft set to be made criminal offence - BBC News,UK Politics,politics_conflict,What new law is being proposed regarding cat and dog theft?
d711699844110c3e,Storm Isha: Dramatic weather change ahead with new storm named - BBC News,UK,society_culture,What does Storm Isha mean for the weather ahead?
938ba651334fd224,DragonFire laser: MoD tests weapon as low-cost alternative to missiles - BBC News,UK,society_culture,What is the DragonFire laser being tested for?
a6674da59b58ec67,Grenfell: Michael Gove says Kingspan gives capitalism a bad name - BBC News,Northern Ireland,society_culture,What did Michael Gove say about Kingspan and capitalism?
11d52b61cdba900c,DUP councillor David Clarke quits party over bullying claims - BBC News,Northern Ireland,society_culture,Why did David Clarke resign from the DUP?
70f1e123950f1784,"Gerry Adams: Ex-Sinn Féin leader can be sued by IRA victims, court rules - BBC News",Northern Ireland,society_culture,What did the court rule regarding Gerry Adams and IRA victims?
a127a706ace10d2a,Ukraine war: Russian oil depot hit in Ukrainian drone attack - BBC News,Europe,international,What happened in the Ukrainian drone attack on a Russian oil depot?
2e89eac0a0d9ce9c,Nigel Lythgoe steps down as So You Think You Can Dance judge - BBC News,Entertainment & Arts,society_culture,Why did Nigel Lythgoe step down from his judging role?
5bfd52b6f1c5d51e,Supreme Court to rule if Trump can run for president - BBC News,US & Canada,international,What will the Supreme Court decide about Trump's presidential eligibility?
9dd8dc132e20834e,"Hamas command in north Gaza destroyed, Israel says - BBC News",Middle East,politics_conflict,What does Israel claim about the Hamas command in Gaza?
62e35783495ea7e3,Alaska Airlines grounds 737 Max 9 planes after section blows out mid-air - BBC News,US & Canada,international,What incident caused Alaska Airlines to ground its 737 Max 9 planes?
5d01d382e0b0dd32,Family history hunt ends on tiny island home to just seals and sheep - BBC News,Highlands & Islands,society_culture,What did the family discover on the tiny island during their history hunt?
3acaee9a1831b6b2,Rishi Sunak urged to do more for flood-hit areas in England - BBC News,UK Politics,politics_conflict,What actions is Rishi Sunak being urged to take for flood victims?
4aca9f5642c12ea8,Junior doctors' strike: The 'huge effort' to keep a hospital running - BBC News,Health,society_culture,What challenges are faced during the junior doctors' strike?
09aac85c45acf35c,Franz Beckenbauer: German football legend dies aged 78 - BBC Sport,,society_culture,What were the circumstances surrounding Franz Beckenbauer's death?
d839673fc55c2537,NHS: GP says private care can help cut waiting lists - BBC News,Wales,society_culture,How can private care help with NHS waiting lists?
556da39750eea302,Boeing 737 Max 9: United Airlines finds loose bolts in jet inspections - BBC News,US & Canada,international,What did United Airlines find during inspections of the Boeing 737 Max 9?
65d84e8b54e956a3,UK weather: Snow hits England and Wales as forecasters warn of ice - BBC News,UK,society_culture,What weather conditions are affecting England and Wales?
6dd3e2f355509b35,"Inmate 'berated and threatened' before her death, says mother - BBC News",Glasgow & West Scotland,society_culture,What did the mother say about her inmate daughter's treatment before death?
5bb661bd57eeaf76,Andrew Tate wins legal challenge over seized assets - BBC News,Europe,international,What legal challenge did Andrew Tate win regarding his assets?
c22f234627debce1,Labour aims to force ministers to publish Rwanda documents - BBC News,UK Politics,politics_conflict,What documents is Labour trying to force ministers to publish?
b5fff101fef3c712,Flood warnings remain as cold spell persists - BBC News,UK,society_culture,What are the current flood warnings in place?
5f8c1f8b4b5aad93,US Moon mission has no chance of soft lunar landing - BBC News,Science & Environment,business_technology_science,What challenges does the US Moon mission face for a lunar landing?
40476177bdae3546,Paula Vennells: Ex-Post Office boss handing back CBE over IT scandal - BBC News,UK,society_culture,Why is Paula Vennells returning her CBE?
76a2bffc125b8877,Peregrine lander: Time running out for US Moon mission - BBC News,Science & Environment,business_technology_science,What is the current status of the US Moon mission with the Peregrine lander?
436d9bfd3d81cbbb,Baby Elsa: Details of woman released after newborn found in bag - BBC News,London,society_culture,What details are known about the woman who abandoned Baby Elsa?
a5e6dc1584d225ec,China reveals British national sentenced to jail in 2022 for spying - BBC News,China,international,What was revealed about a British national sentenced for spying in China?
6d9180635e6385cd,Baby Elsa: Abandoned newborn leaves hospital with foster parents - BBC News,London,society_culture,What is the current status of Baby Elsa after leaving the hospital?
9e44023bc293e53a,"Council tax bands need overhauling, northern business group says - BBC News",UK Politics,politics_conflict,What changes do northern business groups want for council tax bands?
39d02c1623a3088c,Rishi Sunak denies doubting Rwanda plan when chancellor - BBC News,UK Politics,politics_conflict,What did Rishi Sunak say about the Rwanda plan?
ed79815982107e93,"Taiwan elects William Lai president in historic election, angering China - BBC News",Asia,international,What impact does Taiwan's election have on relations with China?
c7762c40cb4266e5,Annie Nightingale obituary: Innovative DJ who always had the hottest tunes - BBC News,Entertainment & Arts,society_culture,What made Annie Nightingale an innovative DJ?
35a04bfdc772d2e8,"Donald Trump ordered to pay NY Times nearly $400,000 in legal costs - BBC News",US & Canada,international,What legal costs was Donald Trump ordered to pay to the NY Times?
317dd1ad78c0f72a,"Queen Elizabeth died peacefully and without pain, book says - BBC News",UK,society_culture,What does the new book say about Queen Elizabeth's death?
2aa2baad76ce9105,Taiwan election: China says US 'gravely wrong' to congratulate new leader - BBC News,Asia,international,What was China's response to Taiwan's election results?
81045846337669aa,Dog stolen from Newark found 200 miles away after appeal - BBC News,Nottingham,society_culture,How was a stolen dog found 200 miles away?
6db4924d15b74dad,"100 days since Hamas attacked Israel, triggering war in Gaza - BBC News",Middle East,politics_conflict,What significant event occurred 100 days after Hamas attacked Israel?
d8ec7ae95a961f82,Fujitsu Japan remains tight-lipped on the Post Office scandal - BBC News,Business,business_technology_science,What is Fujitsu Japan's stance on the Post Office scandal?
e5dcc5be2c51fd89,"China: At least eight dead, dozens missing in Yunnan landslide - BBC News",China,international,"What caused the landslide in Yunnan, China?"
121c7132b9bc9f4b,H&M pulls school uniform advert after being accused of sexualising children - BBC News,Business,business_technology_science,Why did H&M pull its school uniform advertisement?
a9e3fec21eb8cffd,UK officials probe Iran generals' antisemitic talks to students - BBC News,UK,society_culture,What are UK officials investigating regarding Iran generals?
be77f9a34c74d498,Narco-sub with $27m of 'scorpion' cocaine seized in Colombia - BBC News,Latin America & Caribbean,international,What was seized in Colombia's narco-sub operation?
6d829e7bd943bfc0,British man Aditya Verma appears in Spanish court over plane-bomb hoax - BBC News,Europe,international,Why did Aditya Verma appear in a Spanish court?
409d46ae981738b3,Pandemic puppy owners struggle with bad behaviour say vets - BBC News,England,society_culture,What issues are pandemic puppy owners facing?
448ccf42cc5a7140,London flooding: Floating bar sinks during Storm Henk - BBC News,London,society_culture,What happened to the floating bar during Storm Henk?
18217c4c4f140dea,Japan earthquake: Nearly 250 missing as hope for survivors fades - BBC News,Asia,international,How many people are missing after the Japan earthquake?
ee8dd9d6a16f01c7,US fugitive Nicholas Rossi extradited from Scotland - BBC News,Scotland,society_culture,Why was Nicholas Rossi extradited from Scotland?
dd22f000fe8f1366,Prescription drugs sold online without robust checks - BBC News,Health,society_culture,What concerns exist about online prescription drug sales?
60aebd9f01647781,Sunderland footballer Jack Diamond 'raped woman in his home' - BBC News,Wear,society_culture,What are the allegations against Sunderland footballer Jack Diamond?
3250774db0f2ceca,Japan earthquake: Powerful tremors destroy buildings and trigger evacuations - BBC News,,society_culture,What damage did the Japan earthquake cause?
de904b73ea02e0d2,"Motorway electric car charge point target missed, says RAC - BBC News",Business,business_technology_science,What did the RAC say about the motorway electric car charge point target?
f5471e0752a1ee76,Esports: Ambition to hold major gaming event in Wales - BBC News,Wales,society_culture,What are the plans for a major gaming event in Wales?
f4481f3cbd7120f5,Cancer: Almost three million tested in England - BBC News,Health,society_culture,How many people were tested for cancer in England?
d738a37513931996,Disney's Coco voice actor Ana Ofelia Murguía dies aged 90 - BBC News,Entertainment & Arts,society_culture,What was Ana Ofelia Murguía's role in Disney's Coco?
8d5e3db1b964a373,US Navy helicopters destroy Houthi boats in Red Sea after attempted hijack - BBC News,Middle East,politics_conflict,What led to the US Navy destroying Houthi boats?
a0504e5490eb10e9,Fortnite to come back to iPhones in EU - BBC News,Technology,business_technology_science,When will Fortnite return to iPhones in the EU?
13c083b411295814,"Lloyds to cut 1,600 jobs in major branch overhaul - BBC News",Business,business_technology_science,"Why is Lloyds cutting 1,600 jobs?"
2ab5928f5a6477c1,"Igor Girkin shot down a passenger jet, then insulted Putin. Which one put him in jail? - BBC News",Europe,international,What did Igor Girkin say about Putin after the jet incident?
be498cdfe005584d,Judge proposes Spain's Luis Rubiales face trial over Hermoso World Cup kiss - BBC News,Europe,international,What trial is proposed for Luis Rubiales regarding the World Cup kiss?
3450b9174d976c15,Lower UK government borrowing raises prospects of tax cuts - BBC News,Business,business_technology_science,How does lower UK government borrowing affect tax cuts?
e554dbf22972013a,European court president warns over Rwanda rulings - BBC News,UK Politics,politics_conflict,What warnings did the European court president give about Rwanda?
456c5fb4db72d56e,Dramatic footage shows moment car smashes into café window in Italy - BBC News,,society_culture,What does the dramatic footage show in the Italian café incident?
1c2cf0692ea35a78,"China: At least 20 dead, dozens missing in Yunnan landslide - BBC News",China,international,"What was the outcome of the landslide in Yunnan, China?"
0e6583e389cfc5a6,Jason Leitch denies giving Humza Yousaf Covid rule 'workaround' - BBC News,Scotland,society_culture,What did Jason Leitch deny regarding Humza Yousaf?
44846523b270808f,Israel-Gaza war: IDF says 24 soldiers killed in Gaza in one day - BBC News,Middle East,politics_conflict,How many IDF soldiers were killed in Gaza recently?
