test_id,claim_index,claim,support,supported,reason
020d3d213643f8ec,1,Israeli troops are pushing deep into Khan Younis.,text_only,True,The text says Israeli forces have pushed into the remaining parts of Khan Younis and continued to push into southern Gaza.
020d3d213643f8ec,2,Khan Younis is viewed as a stronghold of Hamas.,text_only,True,The text explicitly describes Khan Younis as a stronghold of Hamas.
020d3d213643f8ec,3,Israeli troops are searching Khan Younis for top Hamas officials believed to be hiding there.,text_only,True,The text says Israeli forces were searching for top Hamas officials believed to be hiding in Khan Younis.
020d3d213643f8ec,4,The Israeli Defense Forces have engaged in close-quarters combat in Khan Younis.,text_only,True,"The evidence states that troops engaged in close-quarters combat, in the context of operations in Khan Younis."
020d3d213643f8ec,5,The Israeli Defense Forces have conducted airstrikes in Khan Younis.,text_only,True,The evidence states that Israeli forces directed air strikes and that Khan Younis was subjected to intense Israeli strikes.
020d3d213643f8ec,6,The military operations have resulted in significant casualties among Hamas fighters.,unsupported,False,"The text reports the elimination of dozens of terrorists, but does not specifically establish significant casualties among Hamas fighters."
020d3d213643f8ec,7,The military operation has faced fierce resistance from forces in Khan Younis.,text_only,True,The text says troops faced fierce resistance from Hamas's Khan Younis Brigade.
020d3d213643f8ec,8,The Khan Younis Brigade is one of Hamas's strongest units.,text_only,True,The text describes the Khan Younis Brigade as one of the two strongest in Hamas.
020d3d213643f8ec,9,The IDF has reported finding underground compounds used for holding hostages.,text_only,True,The text says the Israeli military found an underground compound in Khan Younis where it believed about 20 Israeli hostages had been held.
020d3d213643f8ec,10,The reported discovery of underground compounds has intensified the IDF's efforts in Khan Younis.,unsupported,False,The evidence reports the discovery but does not say it intensified the IDF's efforts.
57f67219c9ab0596,1,The coverage discusses the Post Office scandal.,text_only,True,The evidence explicitly discusses the Post Office scandal.
57f67219c9ab0596,2,The coverage focuses on former chief executive Paula Vennells.,text_only,True,The coverage explicitly says the ITV series focuses on former chief executive Paula Vennells.
57f67219c9ab0596,3,"The ITV series ""Mr Bates vs the Post Office"" has affected public interest in the Post Office scandal.",text_only,True,The evidence says the ITV drama reignited public consciousness and renewed public interest in the scandal.
57f67219c9ab0596,4,The ITV series has increased public sympathy for victims of the Post Office scandal.,text_only,True,The evidence explicitly reports widespread sympathy for the victims after the ITV series aired.
57f67219c9ab0596,5,Alan Bates was a sub-postmaster affected by the scandal.,text_only,True,Alan Bates is described as a sub-postmaster in the account of his involvement in the scandal.
57f67219c9ab0596,6,Alan Bates fought against wrongful convictions based on a flawed IT system.,text_only,True,"The evidence says Alan Bates led and won a legal battle that paved the way for convictions to be overturned, and identifies Horizon as flawed."
57f67219c9ab0596,7,There is a call for accountability for those responsible for the Post Office scandal.,text_only,True,"Lord Arbuthnot explicitly called for retribution against those responsible, and the coverage discusses people who behaved badly avoiding consequences."
57f67219c9ab0596,8,There is an emphasis on the need for justice for victims of the Post Office scandal.,text_only,True,The evidence repeatedly refers to justice being achieved for those affected and to convictions being overturned.
57f67219c9ab0596,9,There is an emphasis on the need for fair compensation for victims of the Post Office scandal.,text_only,True,The evidence explicitly calls for full and fair compensation for those affected.
57f67219c9ab0596,10,The drama conveys the emotional toll experienced by people affected by the scandal.,text_only,True,The evidence says drama can bring to life the true emotional impact and dramatise the pain suffered by victims.
57f67219c9ab0596,11,The coverage highlights storytelling as a means of raising awareness about such issues.,text_only,True,The evidence highlights drama and storytelling as means of forging human connection and renewing public interest in an issue.
449086b68a9f66e1,1,Families in Gaza face profound suffering and challenges.,text_only,True,"The evidence describes widespread displacement, loss, inadequate supplies, and severe humanitarian conditions affecting people and families in Gaza."
449086b68a9f66e1,2,The coverage focuses particularly on children in Gaza.,text_only,True,"The coverage explicitly emphasizes children, including children as victims, their future, and their especially heartbreaking plight."
449086b68a9f66e1,3,The coverage focuses particularly on parents in Gaza.,unsupported,False,"Parents appear in individual accounts, but the coverage is not particularly focused on parents as a group."
449086b68a9f66e1,4,A father expressed despair over losing his home.,text_only,True,"Mohammed al-Khaldi, a father, said he lost his home."
449086b68a9f66e1,5,The father expressed despair over losing his ability to provide for his children.,text_only,True,The father said he was no longer able to provide the simplest requirements of life for his children.
449086b68a9f66e1,6,The destruction caused by the conflict contributed to the father's loss of his home and ability to provide for his children.,text_only,True,"He attributed massive destruction to the Israeli occupation and stated that he lost his home and source of income, linking the conflict's destruction to both losses."
449086b68a9f66e1,7,Many families in Gaza have been displaced.,text_only,True,The evidence says the majority of Gaza's 2.3 million people are displaced and describes many displaced Gazans.
449086b68a9f66e1,8,Many families in Gaza struggle to secure food.,text_only,True,"The evidence says displaced people fight daily to find food, and describes inadequate humanitarian supplies."
449086b68a9f66e1,9,Many families in Gaza struggle to secure medical care.,text_only,True,"The evidence reports dwindling healthcare, only 13 of 36 hospitals functioning, shortages of medical equipment, and patients going without treatment."
449086b68a9f66e1,10,Families of hostages have protested in Israel.,text_only,True,The evidence states that some Israeli protesters were related to hostages and that they protested while blocking aid trucks.
449086b68a9f66e1,11,Families of hostages have expressed anguish during protests in Israel.,unsupported,False,"The evidence identifies protesters as relatives of hostages and describes their stated concerns, but does not explicitly say they expressed anguish."
